X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,Y
3066.0,149.0,17.0,127.0,-32.0,849.0,240.0,237.0,121.0,1476.0,T1,T22,1.0
3243.0,45.0,5.0,170.0,3.0,2688.0,221.0,229.0,144.0,1031.0,T1,T22,1.0
2921.0,6.0,14.0,595.0,56.0,3007.0,201.0,212.0,146.0,3515.0,T1,T12,2.0
2952.0,292.0,13.0,108.0,9.0,2510.0,182.0,237.0,195.0,755.0,T3,T22,2.0
3232.0,39.0,17.0,240.0,4.0,2641.0,218.0,199.0,111.0,1350.0,T3,T24,1.0
3164.0,106.0,16.0,408.0,237.0,1902.0,245.0,219.0,98.0,2877.0,T3,T33,1.0
2891.0,173.0,17.0,67.0,22.0,3192.0,228.0,246.0,144.0,2831.0,T1,T29,2.0
2159.0,310.0,24.0,42.0,8.0,1273.0,146.0,215.0,205.0,618.0,T4,T10,6.0
2999.0,23.0,14.0,124.0,9.0,3684.0,212.0,210.0,133.0,5044.0,T1,T29,2.0
3023.0,199.0,9.0,212.0,-33.0,2143.0,217.0,248.0,165.0,953.0,T3,T31,2.0
2998.0,68.0,16.0,240.0,3.0,4266.0,235.0,206.0,99.0,2377.0,T1,T29,2.0
3004.0,90.0,5.0,30.0,0.0,4572.0,227.0,232.0,139.0,541.0,T1,T30,2.0
2930.0,42.0,14.0,437.0,-14.0,591.0,222.0,209.0,119.0,1740.0,T1,T29,2.0
3087.0,193.0,12.0,60.0,-16.0,2886.0,218.0,250.0,164.0,1131.0,T3,T33,2.0
2867.0,92.0,25.0,201.0,85.0,1348.0,249.0,193.0,57.0,1986.0,T3,T13,2.0
2824.0,219.0,14.0,0.0,0.0,4260.0,204.0,252.0,183.0,564.0,T1,T29,2.0
3236.0,13.0,9.0,67.0,12.0,3072.0,211.0,221.0,146.0,2047.0,T1,T22,1.0
3211.0,350.0,5.0,212.0,27.0,90.0,210.0,231.0,159.0,1771.0,T2,T23,1.0
3278.0,171.0,12.0,390.0,38.0,3199.0,228.0,245.0,147.0,1159.0,T3,T32,2.0
1928.0,270.0,17.0,30.0,8.0,270.0,173.0,244.0,209.0,722.0,T4,T1,6.0
3175.0,66.0,19.0,242.0,50.0,4188.0,235.0,199.0,88.0,3725.0,T1,T22,1.0
3820.0,7.0,15.0,977.0,44.0,4478.0,202.0,210.0,144.0,2561.0,T3,T40,7.0
3412.0,86.0,12.0,649.0,133.0,2078.0,237.0,221.0,113.0,1621.0,T1,T40,1.0
3054.0,184.0,7.0,90.0,0.0,1783.0,222.0,245.0,157.0,1818.0,T3,T23,1.0
2373.0,300.0,26.0,180.0,79.0,841.0,138.0,219.0,216.0,1110.0,T4,T10,6.0
3200.0,51.0,6.0,285.0,-6.0,2016.0,223.0,227.0,139.0,3004.0,T1,T29,2.0
3105.0,41.0,10.0,85.0,9.0,5318.0,221.0,219.0,132.0,3114.0,T1,T22,1.0
2834.0,128.0,8.0,85.0,9.0,3078.0,233.0,235.0,134.0,4648.0,T1,T29,2.0
2652.0,206.0,33.0,120.0,64.0,2845.0,180.0,248.0,180.0,1213.0,T3,T4,3.0
2611.0,110.0,9.0,42.0,0.0,2142.0,236.0,230.0,126.0,2279.0,T3,T11,3.0
2919.0,102.0,7.0,124.0,0.0,4991.0,232.0,231.0,132.0,3461.0,T1,T16,1.0
2930.0,65.0,4.0,525.0,46.0,1468.0,223.0,231.0,143.0,1129.0,T3,T32,2.0
2985.0,352.0,32.0,503.0,17.0,4206.0,149.0,169.0,146.0,2179.0,T1,T29,2.0
3049.0,12.0,26.0,270.0,23.0,845.0,183.0,177.0,121.0,1273.0,T3,T24,1.0
3180.0,54.0,11.0,703.0,99.0,1218.0,226.0,217.0,123.0,2397.0,T3,T32,1.0
3181.0,256.0,2.0,182.0,5.0,4983.0,214.0,240.0,163.0,2435.0,T1,T23,1.0
2859.0,309.0,12.0,192.0,18.0,2890.0,187.0,232.0,185.0,2489.0,T1,T29,1.0
3273.0,66.0,13.0,849.0,192.0,1495.0,232.0,213.0,110.0,3170.0,T3,T33,1.0
3071.0,215.0,16.0,391.0,49.0,1401.0,203.0,253.0,183.0,752.0,T3,T13,2.0
3188.0,69.0,6.0,30.0,0.0,5120.0,226.0,228.0,136.0,1959.0,T1,T22,1.0
2887.0,79.0,8.0,212.0,6.0,2037.0,231.0,226.0,128.0,2844.0,T3,T26,2.0
3077.0,165.0,7.0,30.0,0.0,6068.0,227.0,243.0,149.0,2382.0,T1,T29,1.0
3270.0,240.0,5.0,926.0,160.0,1872.0,210.0,244.0,172.0,2445.0,T3,T31,1.0
3201.0,336.0,9.0,108.0,-3.0,3188.0,201.0,229.0,167.0,4871.0,T1,T29,1.0
2867.0,159.0,12.0,210.0,35.0,1065.0,233.0,242.0,138.0,1832.0,T3,T10,2.0
3227.0,341.0,23.0,571.0,151.0,1071.0,165.0,199.0,168.0,1939.0,T3,T33,2.0
2735.0,217.0,22.0,90.0,62.0,1773.0,192.0,254.0,191.0,1187.0,T3,T13,2.0
3271.0,93.0,5.0,192.0,11.0,6153.0,227.0,233.0,140.0,283.0,T1,T22,1.0
3027.0,34.0,5.0,531.0,44.0,3113.0,219.0,228.0,145.0,677.0,T3,T32,2.0
2876.0,71.0,19.0,268.0,87.0,3355.0,237.0,201.0,88.0,1699.0,T3,T4,3.0
3035.0,8.0,11.0,362.0,102.0,624.0,207.0,218.0,147.0,1671.0,T3,T32,2.0
3347.0,133.0,19.0,655.0,141.0,474.0,246.0,227.0,101.0,247.0,T2,T38,1.0
3271.0,359.0,10.0,90.0,12.0,4121.0,205.0,222.0,154.0,1697.0,T1,T23,1.0
3026.0,339.0,7.0,108.0,-3.0,808.0,206.0,231.0,163.0,1746.0,T2,T23,1.0
3341.0,9.0,14.0,430.0,102.0,3240.0,204.0,212.0,144.0,2407.0,T3,T32,7.0
3008.0,192.0,25.0,277.0,165.0,2724.0,209.0,250.0,161.0,1159.0,T3,T34,2.0
3404.0,81.0,11.0,470.0,119.0,2068.0,235.0,219.0,114.0,1559.0,T1,T35,1.0
2167.0,295.0,37.0,120.0,90.0,1405.0,97.0,203.0,234.0,888.0,T4,T10,3.0
2893.0,305.0,11.0,256.0,40.0,2180.0,189.0,234.0,185.0,1315.0,T3,T31,2.0
3409.0,98.0,23.0,420.0,12.0,2114.0,250.0,201.0,66.0,3400.0,T1,T40,7.0
3397.0,144.0,14.0,437.0,115.0,2234.0,239.0,236.0,123.0,2206.0,T3,T40,1.0
2682.0,34.0,3.0,60.0,3.0,2100.0,219.0,232.0,149.0,1830.0,T3,T17,5.0
3197.0,129.0,28.0,319.0,73.0,3566.0,252.0,211.0,67.0,319.0,T3,T33,1.0
3179.0,344.0,17.0,67.0,18.0,1383.0,183.0,211.0,165.0,2512.0,T1,T29,2.0
3045.0,289.0,21.0,418.0,134.0,5628.0,158.0,233.0,213.0,1138.0,T1,T29,2.0
2876.0,170.0,10.0,85.0,14.0,3274.0,227.0,245.0,149.0,2026.0,T1,T12,2.0
2818.0,53.0,23.0,247.0,-22.0,283.0,226.0,184.0,81.0,1434.0,T1,T29,5.0
2499.0,236.0,18.0,67.0,17.0,926.0,185.0,253.0,202.0,1189.0,T3,T2,2.0
2995.0,99.0,16.0,60.0,18.0,4462.0,244.0,217.0,98.0,150.0,T1,T29,2.0
3401.0,138.0,14.0,127.0,1.0,4308.0,240.0,235.0,121.0,4283.0,T3,T23,7.0
2641.0,273.0,32.0,319.0,148.0,999.0,121.0,230.0,238.0,1560.0,T3,T28,2.0
2666.0,71.0,16.0,85.0,14.0,1284.0,236.0,207.0,98.0,825.0,T3,T33,2.0
2901.0,306.0,18.0,277.0,87.0,1641.0,168.0,227.0,198.0,2594.0,T3,T33,2.0
2700.0,80.0,27.0,95.0,54.0,120.0,244.0,180.0,47.0,1793.0,T1,T30,5.0
2867.0,269.0,16.0,30.0,7.0,2828.0,178.0,244.0,205.0,2287.0,T3,T22,1.0
3145.0,48.0,6.0,30.0,6.0,4953.0,223.0,227.0,140.0,2774.0,T1,T23,2.0
3138.0,294.0,6.0,400.0,35.0,2268.0,202.0,239.0,176.0,934.0,T3,T32,2.0
3316.0,328.0,14.0,150.0,48.0,5437.0,186.0,224.0,177.0,920.0,T1,T38,1.0
2548.0,148.0,19.0,95.0,26.0,1123.0,242.0,235.0,114.0,1809.0,T3,T4,3.0
3204.0,108.0,13.0,192.0,21.0,3877.0,241.0,225.0,111.0,1890.0,T3,T32,2.0
2878.0,20.0,7.0,256.0,19.0,3437.0,215.0,225.0,147.0,3181.0,T1,T12,2.0
3146.0,45.0,14.0,484.0,53.0,3250.0,223.0,208.0,116.0,3181.0,T1,T29,1.0
2862.0,36.0,15.0,408.0,62.0,1536.0,218.0,205.0,119.0,2806.0,T3,T33,2.0
2847.0,270.0,3.0,30.0,-2.0,3830.0,212.0,240.0,166.0,6103.0,T1,T20,2.0
3383.0,272.0,13.0,323.0,65.0,1771.0,185.0,244.0,198.0,2012.0,T3,T32,1.0
3108.0,270.0,10.0,295.0,67.0,1433.0,193.0,244.0,190.0,1252.0,T3,T23,1.0
2867.0,135.0,8.0,30.0,-1.0,1746.0,233.0,237.0,135.0,2096.0,T3,T19,2.0
3264.0,211.0,26.0,124.0,26.0,2356.0,188.0,253.0,188.0,3705.0,T2,T22,1.0
3056.0,340.0,9.0,127.0,19.0,1266.0,201.0,227.0,165.0,2322.0,T1,T29,2.0
3224.0,32.0,10.0,268.0,29.0,1486.0,218.0,218.0,134.0,1087.0,T3,T39,1.0
2463.0,65.0,31.0,258.0,96.0,633.0,232.0,163.0,41.0,721.0,T4,T10,3.0
3189.0,183.0,18.0,283.0,90.0,2994.0,222.0,249.0,153.0,912.0,T3,T33,1.0
3251.0,27.0,8.0,684.0,103.0,5932.0,217.0,222.0,141.0,2559.0,T1,T29,2.0
2996.0,61.0,6.0,234.0,19.0,2648.0,225.0,228.0,137.0,1613.0,T3,T20,1.0
3287.0,278.0,2.0,324.0,64.0,3120.0,214.0,239.0,162.0,3031.0,T3,T24,2.0
2554.0,88.0,8.0,180.0,33.0,127.0,232.0,227.0,128.0,789.0,T4,T6,2.0
2955.0,131.0,17.0,277.0,115.0,5846.0,245.0,228.0,105.0,4266.0,T1,T30,2.0
3006.0,15.0,17.0,330.0,61.0,1784.0,202.0,202.0,133.0,3348.0,T3,T33,2.0
2982.0,0.0,18.0,108.0,13.0,2247.0,192.0,205.0,148.0,2685.0,T3,T32,2.0
2765.0,95.0,13.0,85.0,6.0,2798.0,240.0,220.0,108.0,306.0,T3,T10,2.0
2896.0,41.0,20.0,404.0,94.0,4544.0,218.0,193.0,102.0,5152.0,T1,T12,2.0
3366.0,63.0,2.0,306.0,40.0,3573.0,221.0,234.0,150.0,2151.0,T3,T38,1.0
3024.0,349.0,10.0,67.0,13.0,3008.0,202.0,223.0,160.0,,T1,T29,1.0
3010.0,58.0,27.0,300.0,121.0,2017.0,228.0,174.0,63.0,1706.0,T3,T33,2.0
2751.0,74.0,4.0,67.0,2.0,992.0,225.0,231.0,142.0,2272.0,T3,T17,2.0
2722.0,151.0,2.0,108.0,23.0,2338.0,222.0,239.0,152.0,5134.0,T1,T12,2.0
2998.0,22.0,17.0,212.0,35.0,234.0,207.0,200.0,126.0,1292.0,T3,T24,2.0
3275.0,7.0,17.0,421.0,72.0,2074.0,196.0,203.0,141.0,1050.0,T3,T31,1.0
3087.0,133.0,12.0,390.0,61.0,379.0,239.0,234.0,123.0,1812.0,T1,T22,1.0
2909.0,63.0,21.0,190.0,17.0,721.0,233.0,192.0,81.0,1924.0,T3,T33,2.0
3014.0,141.0,12.0,769.0,95.0,5268.0,238.0,236.0,126.0,5963.0,T1,T12,2.0
2841.0,96.0,23.0,210.0,62.0,3270.0,249.0,200.0,67.0,684.0,T3,T10,2.0
3077.0,0.0,5.0,497.0,23.0,2952.0,213.0,231.0,156.0,1679.0,T3,T32,2.0
2936.0,128.0,8.0,258.0,26.0,3915.0,234.0,235.0,132.0,1613.0,T1,T12,2.0
3030.0,129.0,10.0,242.0,42.0,1062.0,237.0,234.0,127.0,1756.0,T3,T22,1.0
3165.0,148.0,9.0,277.0,56.0,2925.0,232.0,240.0,139.0,3340.0,T1,T29,1.0
3047.0,25.0,9.0,524.0,56.0,5615.0,216.0,221.0,141.0,5260.0,T1,T12,1.0
2903.0,155.0,10.0,162.0,33.0,4106.0,231.0,241.0,141.0,5958.0,T1,T12,2.0
2184.0,322.0,20.0,85.0,29.0,1034.0,166.0,216.0,188.0,799.0,T4,T10,3.0
3180.0,270.0,4.0,108.0,6.0,3271.0,208.0,241.0,171.0,1342.0,T3,T23,2.0
2872.0,147.0,17.0,150.0,31.0,3031.0,241.0,236.0,118.0,3148.0,T1,T30,2.0
3177.0,307.0,9.0,60.0,11.0,1262.0,194.0,235.0,180.0,1146.0,T2,T40,1.0
3181.0,41.0,19.0,95.0,27.0,3369.0,219.0,196.0,105.0,700.0,T3,T32,1.0
3080.0,224.0,13.0,297.0,46.0,5961.0,203.0,252.0,184.0,2174.0,T1,T29,2.0
2985.0,79.0,12.0,376.0,56.0,1861.0,236.0,218.0,112.0,1756.0,T3,T32,2.0
3239.0,272.0,8.0,240.0,79.0,4803.0,198.0,243.0,184.0,759.0,T1,T29,1.0
2815.0,88.0,18.0,60.0,19.0,598.0,244.0,207.0,86.0,780.0,T1,T23,2.0
2833.0,83.0,21.0,560.0,306.0,1208.0,244.0,199.0,75.0,1026.0,T3,T13,2.0
2292.0,108.0,22.0,30.0,9.0,1148.0,251.0,208.0,73.0,1158.0,T4,T4,6.0
3175.0,354.0,7.0,644.0,0.0,3878.0,209.0,228.0,157.0,4086.0,T1,T19,1.0
3100.0,70.0,16.0,361.0,44.0,5109.0,236.0,206.0,97.0,1758.0,T1,T29,1.0
2363.0,270.0,26.0,60.0,25.0,1320.0,143.0,238.0,229.0,902.0,T4,T10,3.0
3241.0,309.0,19.0,0.0,0.0,4025.0,165.0,224.0,198.0,1259.0,T1,T38,7.0
2302.0,51.0,15.0,60.0,12.0,1055.0,226.0,206.0,109.0,834.0,T4,T5,3.0
3211.0,28.0,8.0,569.0,59.0,1126.0,217.0,223.0,141.0,2594.0,T2,T23,2.0
3231.0,37.0,16.0,297.0,43.0,1354.0,218.0,203.0,117.0,768.0,T2,T32,1.0
2863.0,308.0,29.0,108.0,62.0,4842.0,130.0,208.0,212.0,4818.0,T1,T29,2.0
3180.0,78.0,8.0,124.0,21.0,2340.0,231.0,226.0,128.0,2597.0,T1,T29,1.0
3192.0,320.0,4.0,391.0,48.0,4677.0,209.0,236.0,165.0,2353.0,T1,T29,2.0
3052.0,120.0,5.0,0.0,0.0,1211.0,229.0,235.0,140.0,3085.0,T3,T23,1.0
3047.0,346.0,22.0,390.0,188.0,953.0,172.0,199.0,162.0,3298.0,T3,T24,2.0
3121.0,177.0,10.0,376.0,30.0,2166.0,225.0,246.0,153.0,870.0,T3,T32,2.0
2887.0,239.0,27.0,150.0,52.0,805.0,161.0,251.0,218.0,684.0,T3,T13,2.0
2658.0,80.0,18.0,170.0,38.0,1890.0,241.0,205.0,87.0,1983.0,T3,T4,6.0
2764.0,328.0,18.0,0.0,0.0,2322.0,173.0,216.0,181.0,834.0,T3,T13,1.0
2896.0,307.0,26.0,258.0,121.0,537.0,141.0,214.0,209.0,1104.0,T3,T33,1.0
3195.0,245.0,4.0,541.0,86.0,5753.0,212.0,243.0,169.0,1243.0,T1,T29,2.0
3322.0,335.0,17.0,170.0,52.0,3192.0,179.0,215.0,173.0,2382.0,T3,T24,1.0
3212.0,39.0,10.0,42.0,-9.0,2804.0,221.0,217.0,130.0,2232.0,T1,T22,1.0
3065.0,44.0,14.0,255.0,25.0,3027.0,222.0,210.0,119.0,5682.0,T1,T29,1.0
2105.0,346.0,24.0,124.0,76.0,313.0,167.0,195.0,162.0,488.0,T4,T10,6.0
3233.0,118.0,14.0,524.0,118.0,4984.0,243.0,227.0,111.0,2581.0,T1,T22,2.0
3018.0,157.0,6.0,297.0,10.0,6054.0,227.0,241.0,148.0,3529.0,T1,T29,2.0
3049.0,48.0,14.0,973.0,230.0,1136.0,224.0,208.0,115.0,2400.0,T3,T32,2.0
3325.0,134.0,13.0,488.0,80.0,1338.0,241.0,233.0,119.0,2321.0,T3,T32,1.0
3079.0,57.0,16.0,153.0,36.0,1148.0,229.0,206.0,105.0,2315.0,T3,T24,1.0
3026.0,332.0,22.0,362.0,-14.0,1914.0,165.0,207.0,179.0,1632.0,T3,T33,2.0
3353.0,124.0,9.0,234.0,31.0,1848.0,235.0,234.0,130.0,3199.0,T1,T38,7.0
2715.0,128.0,20.0,85.0,-20.0,366.0,248.0,224.0,94.0,446.0,T1,T30,5.0
3310.0,306.0,8.0,361.0,29.0,3521.0,197.0,235.0,178.0,1443.0,T1,T39,1.0
2659.0,354.0,20.0,85.0,28.0,1967.0,183.0,202.0,153.0,4545.0,T1,T29,2.0
3228.0,344.0,8.0,30.0,3.0,1172.0,205.0,228.0,162.0,1909.0,T2,T23,1.0
2706.0,277.0,26.0,60.0,31.0,1956.0,142.0,235.0,227.0,134.0,T3,T33,2.0
2910.0,251.0,24.0,285.0,90.0,2227.0,159.0,248.0,221.0,1842.0,T3,T13,2.0
3096.0,47.0,28.0,228.0,20.0,1802.0,217.0,167.0,68.0,973.0,T3,T31,1.0
2968.0,13.0,3.0,552.0,59.0,832.0,216.0,233.0,154.0,1945.0,T1,T29,2.0
2604.0,343.0,10.0,541.0,43.0,680.0,200.0,225.0,163.0,792.0,T3,T11,3.0
3353.0,96.0,7.0,67.0,-12.0,4566.0,232.0,229.0,129.0,4375.0,T3,T23,7.0
2920.0,115.0,17.0,607.0,122.0,3036.0,247.0,222.0,98.0,531.0,T3,T10,2.0
3110.0,88.0,19.0,124.0,27.0,962.0,245.0,205.0,82.0,2154.0,T1,T29,1.0
3108.0,273.0,21.0,417.0,71.0,3255.0,160.0,241.0,217.0,1471.0,T3,T24,1.0
2735.0,3.0,24.0,60.0,28.0,1510.0,181.0,188.0,138.0,1022.0,T3,T31,2.0
2599.0,347.0,24.0,42.0,20.0,1710.0,168.0,194.0,159.0,4528.0,T1,T29,2.0
2897.0,109.0,16.0,270.0,87.0,277.0,245.0,221.0,99.0,725.0,T1,T29,2.0
3030.0,128.0,8.0,162.0,2.0,853.0,234.0,235.0,132.0,1057.0,T3,T32,1.0
3021.0,321.0,19.0,150.0,-10.0,1080.0,168.0,218.0,188.0,2226.0,T3,T32,1.0
2928.0,219.0,12.0,966.0,133.0,2613.0,206.0,252.0,180.0,1332.0,T3,T34,2.0
2935.0,53.0,22.0,295.0,54.0,1673.0,226.0,187.0,84.0,1148.0,T1,T29,1.0
3464.0,121.0,10.0,752.0,115.0,3492.0,237.0,232.0,125.0,1318.0,T3,T37,7.0
3120.0,22.0,11.0,190.0,11.0,4030.0,213.0,217.0,139.0,1825.0,T1,T29,2.0
3101.0,317.0,8.0,277.0,35.0,2343.0,200.0,233.0,173.0,2471.0,T3,T32,2.0
2862.0,78.0,28.0,95.0,2.0,362.0,242.0,178.0,47.0,295.0,T1,T22,1.0
2936.0,345.0,14.0,30.0,8.0,1140.0,191.0,217.0,164.0,2258.0,T3,T32,2.0
3400.0,297.0,12.0,408.0,79.0,1727.0,187.0,236.0,189.0,2081.0,T3,T32,1.0
3069.0,21.0,6.0,67.0,7.0,3042.0,216.0,227.0,148.0,1008.0,T1,T29,2.0
3338.0,279.0,12.0,270.0,62.0,5359.0,186.0,242.0,195.0,899.0,T1,T39,1.0
2939.0,239.0,33.0,408.0,253.0,2156.0,142.0,246.0,226.0,1236.0,T3,T13,2.0
3032.0,342.0,19.0,361.0,173.0,966.0,178.0,208.0,167.0,3337.0,T3,T24,2.0
2743.0,25.0,4.0,0.0,0.0,2643.0,218.0,231.0,150.0,6454.0,T1,T16,2.0
2850.0,43.0,10.0,330.0,8.0,2550.0,222.0,217.0,129.0,924.0,T3,T31,1.0
3100.0,0.0,2.0,390.0,15.0,1299.0,216.0,235.0,156.0,1307.0,T2,T23,1.0
2644.0,345.0,3.0,85.0,-4.0,509.0,214.0,235.0,159.0,1426.0,T1,T12,2.0
3198.0,197.0,12.0,323.0,54.0,942.0,217.0,250.0,166.0,469.0,T3,T32,1.0
2594.0,103.0,12.0,60.0,-5.0,2008.0,240.0,224.0,112.0,2121.0,T3,T10,6.0
3187.0,39.0,21.0,90.0,28.0,2239.0,216.0,190.0,101.0,1581.0,T3,T24,1.0
3159.0,17.0,13.0,626.0,-12.0,4126.0,208.0,211.0,138.0,3818.0,T1,T29,1.0
2869.0,93.0,18.0,175.0,52.0,192.0,245.0,210.0,87.0,1282.0,T1,T29,1.0
2998.0,295.0,26.0,390.0,201.0,2536.0,139.0,223.0,219.0,1530.0,T3,T33,1.0
3047.0,36.0,8.0,42.0,2.0,4671.0,220.0,221.0,137.0,1082.0,T1,T23,2.0
3225.0,42.0,13.0,277.0,5.0,1965.0,222.0,211.0,122.0,930.0,T3,T31,1.0
2811.0,43.0,10.0,228.0,26.0,3180.0,222.0,218.0,130.0,6602.0,T1,T12,2.0
3013.0,119.0,8.0,541.0,188.0,1989.0,235.0,233.0,129.0,2890.0,T3,T32,2.0
3011.0,3.0,22.0,297.0,42.0,2322.0,185.0,193.0,140.0,2201.0,T3,T24,1.0
3066.0,272.0,17.0,90.0,19.0,808.0,173.0,243.0,208.0,1589.0,T3,T32,2.0
2940.0,65.0,11.0,541.0,12.0,959.0,230.0,218.0,120.0,2177.0,T1,T12,2.0
3042.0,133.0,11.0,459.0,70.0,2486.0,238.0,235.0,126.0,2306.0,T3,T23,1.0
3013.0,194.0,9.0,698.0,90.0,2122.0,219.0,247.0,163.0,2546.0,T3,T32,2.0
