,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
60,3070,40,11,295,49,3930,221,216,129,4200,T1,T29
61,2644,340,8,0,0,1771,204,229,164,2764,T1,T16
62,3076,18,11,67,3,1421,211,216,141,3097,T3,T23
63,2695,346,21,255,2,914,173,201,162,2265,T1,T29
64,3170,169,12,319,39,404,229,245,146,4924,T2,T22
65,3236,117,2,319,15,4444,223,237,150,2192,T1,T22
66,2712,66,6,323,4,900,226,228,137,2139,T1,T29
67,3092,150,8,180,1,1406,230,240,142,3330,T3,T33
68,3210,283,16,30,-5,3609,173,239,205,1731,T1,T22
69,2085,52,25,162,35,664,223,177,72,787,T4,T6
70,3420,340,8,698,181,3048,204,229,164,2010,T3,T39
71,2419,182,11,240,75,984,223,247,156,1493,T4,T6
72,3114,56,10,0,0,5220,227,218,124,2175,T1,T23
73,3039,99,5,376,11,1449,228,233,140,2659,T1,T29
74,3488,357,13,553,127,1277,199,216,154,1732,T2,T40
75,2625,55,8,295,67,977,225,224,133,730,T1,T12
76,3370,265,14,870,188,4560,183,245,201,2744,T3,T38
77,2584,30,25,240,66,2310,204,177,98,577,T3,T10
78,2205,309,25,255,132,722,143,215,207,371,T4,T10
79,2814,86,4,0,0,4367,225,233,144,4959,T1,T30
80,2918,318,32,256,85,2635,123,194,202,607,T3,T33
81,2428,265,32,90,38,450,122,234,240,433,T3,T4
82,3135,68,7,108,3,2156,227,226,133,2640,T1,T29
83,3126,18,14,108,18,4147,208,210,137,1710,T1,T23
84,2140,105,36,134,72,552,253,173,0,120,T4,T3
85,3192,24,3,212,18,3971,218,233,152,1374,T1,T38
86,2660,113,8,450,55,642,234,232,129,108,T3,T4
87,3257,214,10,268,49,1112,211,250,174,641,T3,T32
88,3027,108,17,981,229,3124,247,218,93,895,T3,T10
89,2799,18,27,201,54,1114,188,173,110,1082,T3,T33
90,2149,0,32,42,14,907,156,162,130,742,T4,T10
91,2995,322,31,366,51,953,127,193,197,713,T3,T33
92,2785,16,8,30,1,3588,214,224,147,3009,T1,T23
93,3222,338,10,0,0,3435,198,226,167,1812,T1,T22
94,2710,282,9,0,0,1784,195,241,186,741,T3,T31
95,2810,337,15,30,12,1337,186,218,171,1712,T3,T24
96,2862,103,20,301,66,875,249,210,80,674,T1,T30
97,3150,73,13,85,4,4092,235,214,108,3327,T3,T22
98,3007,31,3,242,69,2408,219,233,151,2455,T3,T32
99,3021,60,17,335,97,4425,231,203,100,2123,T1,T29
100,3254,315,12,134,36,4656,187,230,183,2672,T3,T32
101,3071,250,15,525,-49,2165,186,250,200,1630,T3,T32
102,2978,355,25,283,144,5568,170,186,147,4887,T1,T24
103,2911,221,34,216,97,1307,159,247,204,150,T3,T13
104,2894,32,10,511,78,3663,218,218,134,3097,T1,T12
105,3314,204,20,700,177,849,205,254,176,4540,T2,T32
106,3227,35,17,595,151,511,216,201,115,1919,T3,T33
107,3273,138,6,256,32,5325,230,238,142,760,T1,T29
108,3154,294,21,376,58,1600,155,229,212,2503,T3,T33
109,3149,188,5,127,17,6571,220,244,159,2015,T1,T29
110,3005,292,17,216,27,5825,171,235,203,1919,T1,T22
111,3210,334,9,42,7,4714,199,228,168,360,T1,T38
112,3098,210,13,450,100,1940,210,252,175,2047,T3,T23
113,3147,21,6,0,0,4387,216,227,148,1889,T1,T23
114,2632,123,15,330,77,323,244,228,109,1181,T1,T12
115,2166,6,34,270,155,366,157,153,116,384,T4,T10
116,3155,55,11,210,40,216,227,216,121,2132,T2,T23
117,2705,181,11,0,0,2416,224,247,155,1928,T1,T30
118,2539,95,18,85,23,1529,246,211,88,1667,T3,T10
119,3226,119,19,85,11,4620,248,220,92,3733,T3,T22
120,2728,21,9,30,1,511,214,221,142,2413,T3,T17
121,2692,91,13,30,-2,1470,240,218,106,700,T1,T23
122,3121,155,14,607,83,1771,235,241,132,819,T3,T13
123,2612,45,12,67,12,1061,223,214,124,2143,T1,T30
124,2948,249,3,85,21,1565,212,242,167,674,T3,T31
125,3193,324,16,845,-9,1510,178,221,182,1114,T3,T31
126,3221,86,15,594,72,592,240,215,101,1745,T1,T22
127,2847,75,11,85,12,1259,234,219,116,1725,T1,T29
128,2600,72,15,258,72,543,236,210,102,1570,T3,T2
129,3177,61,13,859,-46,1019,230,211,111,1782,T1,T29
130,2714,52,5,0,0,2266,223,228,141,4147,T1,T23
131,3230,292,9,180,27,4690,196,239,183,626,T1,T38
132,3137,20,24,0,0,920,195,180,112,1392,T1,T29
133,3141,328,21,268,17,3882,165,211,183,1583,T3,T22
134,3173,162,12,591,100,2714,232,243,140,3075,T3,T32
135,2578,50,8,192,32,811,224,223,133,5313,T1,T18
136,2460,106,18,162,60,752,248,215,88,240,T4,T2
137,2277,357,22,212,78,1230,181,195,148,785,T4,T10
138,3307,338,9,120,8,4126,200,227,166,1510,T1,T23
139,3141,86,14,30,6,4696,240,216,103,2964,T1,T29
140,2807,115,21,85,11,2876,251,214,81,2215,T1,T29
141,3071,140,18,283,-21,1047,244,232,109,937,T1,T22
142,2791,41,9,466,-9,1749,221,221,134,2650,T1,T12
143,2699,338,24,134,57,1698,160,199,173,1252,T3,T24
144,2957,72,6,127,18,525,227,228,136,2242,T3,T32
145,2808,120,5,30,-6,700,229,235,140,2415,T3,T17
146,2818,188,17,120,24,2361,219,250,159,1671,T1,T30
147,3020,262,12,417,74,5880,190,246,195,1776,T1,T29
148,2956,0,31,324,101,324,159,167,132,1717,T1,T30
149,2806,190,15,391,169,1521,219,250,161,1282,T3,T13
150,3380,80,15,382,98,2206,239,212,100,2440,T1,T39
151,2838,263,14,495,116,256,183,246,201,1856,T3,T10
152,2750,37,7,108,19,2731,220,224,139,4747,T1,T24
153,3230,158,10,360,68,1351,231,242,141,2526,T1,T29
154,2743,338,4,228,53,1507,210,233,162,2078,T3,T11
155,3019,354,6,0,0,3481,209,229,158,1884,T1,T29
156,3158,5,10,60,10,1423,208,221,150,693,T3,T35
157,3326,92,8,240,126,3165,233,227,126,400,T3,T32
158,3070,302,16,42,10,3342,172,230,198,2860,T3,T24
159,2935,357,20,242,44,1811,185,201,150,1468,T3,T33
160,2150,318,26,162,53,957,142,205,198,789,T4,T10
161,3282,312,13,858,12,3437,185,230,185,1104,T3,T22
162,2824,119,7,573,69,3255,233,234,133,6323,T1,T12
163,3031,20,6,470,59,5452,216,227,148,6410,T1,T12
164,3207,103,8,382,16,5821,233,230,130,2974,T1,T29
165,3321,125,21,376,24,1146,250,219,86,2813,T1,T22
166,2641,336,11,509,82,698,195,225,169,979,T3,T11
167,3090,162,10,30,-2,6178,230,243,144,2366,T1,T29
168,2325,288,29,67,23,1410,126,222,230,808,T4,T10
169,3153,279,5,277,43,1682,207,240,172,2496,T3,T32
170,3159,106,6,228,31,5081,231,232,135,2592,T1,T29
171,3129,299,17,30,13,2531,170,231,200,750,T3,T32
172,2663,26,18,120,34,774,209,198,120,1230,T3,T33
173,3135,306,14,192,27,5283,180,231,191,541,T1,T29
174,3170,266,9,190,30,5733,197,244,187,2431,T1,T22
175,2567,48,14,182,41,430,224,209,116,966,T4,T6
176,2638,342,12,404,79,607,195,222,166,997,T3,T11
177,3142,356,25,120,16,537,172,187,146,2024,T2,T22
178,3375,288,6,309,32,1550,203,239,175,799,T3,T38
179,2943,275,11,0,0,2001,189,243,193,499,T3,T19
180,2860,108,2,268,51,2214,221,237,151,2672,T1,T29
181,2862,349,4,30,0,2577,213,233,158,335,T3,T23
182,3195,111,6,228,69,3194,230,234,137,3571,T1,T23
183,2860,79,27,309,188,1361,243,180,50,997,T3,T13
184,2803,77,11,0,0,1012,234,220,117,1931,T1,T29
185,2866,89,14,127,25,2890,240,217,104,2673,T1,T12
186,3257,337,2,671,147,1761,215,236,159,2347,T3,T31
187,2913,57,7,134,30,1666,225,226,136,1296,T3,T31
188,2447,167,4,277,15,853,223,241,153,1148,T3,T2
189,2818,28,17,150,16,1455,211,202,123,2577,T3,T20
190,3077,14,4,30,1,3318,216,231,153,1149,T1,T23
191,2784,208,4,150,29,1765,217,243,162,2713,T1,T29
192,2815,0,14,738,81,420,198,212,151,1084,T3,T11
193,3171,280,18,212,2,3532,168,239,209,1471,T1,T29
194,2296,325,22,67,17,319,162,211,186,466,T4,T10
195,2998,324,17,295,-42,1822,176,220,183,1556,T3,T33
196,3018,115,15,212,56,4427,245,224,104,2413,T1,T29
197,2790,25,10,0,0,3271,215,219,140,5859,T1,T20
198,3224,13,22,67,17,1892,193,190,128,2125,T3,T33
199,2975,113,8,67,6,4965,234,232,129,616,T1,T30
200,2946,27,9,319,-29,1385,217,221,140,514,T3,T23
201,2576,1,20,42,13,404,188,200,146,1920,T1,T29
202,3047,79,11,120,39,3182,235,220,115,6033,T1,T29
203,2854,71,28,108,53,124,238,173,47,1396,T1,T29
204,3334,22,20,182,134,2998,203,193,120,384,T3,T32
205,2913,332,16,108,18,3438,183,219,175,2499,T1,T29
206,2839,7,11,30,3,2605,206,217,148,2310,T1,T23
207,2998,90,6,696,72,5252,229,231,136,6087,T1,T29
208,2672,325,17,0,0,1604,175,219,183,1289,T3,T20
209,3209,73,15,85,9,3810,236,211,103,3034,T1,T39
210,3200,233,2,313,29,5988,215,241,163,1888,T1,T22
211,2783,45,8,150,24,765,223,223,135,2297,T3,T11
212,2519,13,14,30,5,451,206,211,141,3154,T1,T29
213,3004,119,13,0,0,1478,242,228,113,1130,T3,T31
214,3153,34,11,210,10,721,219,216,132,1820,T1,T22
215,2769,292,28,90,30,2325,130,221,225,543,T3,T33
216,3148,52,11,319,50,5171,226,215,122,218,T1,T29
217,3231,327,16,779,94,2072,180,220,180,618,T3,T32
218,2894,54,20,42,-2,1710,227,194,92,1323,T3,T33
219,3255,42,7,618,78,5705,221,225,139,2708,T1,T29
220,2916,6,11,503,74,1018,207,219,149,1368,T3,T33
221,3105,155,32,366,38,1660,237,223,89,1437,T1,T29
222,3145,6,20,484,4,2191,192,198,139,1253,T3,T32
223,2518,97,15,42,11,480,243,217,99,331,T1,T29
224,2975,175,8,433,33,1992,225,245,153,2232,T3,T32
225,3332,60,21,607,32,3030,231,190,82,1087,T3,T39
226,3073,69,25,484,96,541,237,183,63,1440,T1,T30
227,3083,114,8,789,8,1358,235,232,129,2624,T3,T33
228,3137,51,37,67,40,3923,210,135,0,942,T1,T30
229,3134,320,26,616,327,1236,145,205,196,1116,T3,T33
230,3197,12,6,362,62,492,214,228,151,2577,T2,T23
231,3031,296,20,362,96,1490,159,229,208,3207,T1,T22
232,3024,228,23,95,19,1440,180,254,203,108,T3,T23
233,2943,43,10,849,195,2642,222,218,130,633,T3,T31
234,3291,23,7,124,1,3288,216,225,145,1928,T1,T29
235,2582,144,10,420,54,711,235,238,133,1316,T3,T2
236,2985,330,5,371,3,4696,207,233,165,5121,T1,T29
237,3016,60,19,685,121,1215,231,197,90,1900,T3,T32
238,3190,112,14,153,52,1597,244,224,106,2581,T1,T29
239,3074,337,5,420,31,510,208,232,163,642,T2,T23
240,2706,104,9,365,89,1170,235,229,126,582,T1,T29
241,2946,197,14,108,14,1026,216,251,167,663,T3,T13
242,3382,44,14,524,143,3154,222,210,119,2192,T3,T39
243,3223,151,11,85,-12,2455,234,240,135,3818,T2,T23
244,3311,170,14,395,111,3121,230,245,143,569,T3,T32
245,2886,343,11,30,8,1357,197,223,164,2542,T3,T20
246,2939,45,1,0,0,5291,219,236,154,2713,T1,T16
247,3373,293,14,319,57,3689,179,236,197,1739,T3,T32
248,2463,112,13,458,210,859,242,225,109,636,T4,T1
249,2913,309,20,210,59,5243,162,223,199,674,T1,T29
250,3531,112,23,360,97,2652,252,209,73,2177,T1,T40
251,2769,255,33,120,60,2249,128,239,237,812,T3,T13
252,3120,198,21,330,79,3322,209,252,169,1071,T3,T33
253,2874,67,28,162,92,2122,235,174,53,1909,T3,T13
254,2975,193,12,481,54,1883,218,250,164,2029,T3,T32
255,2944,20,12,153,25,2938,211,213,137,1047,T3,T31
256,3045,329,1,277,-2,2618,215,237,159,794,T1,T23
257,3045,182,8,0,0,2375,223,245,156,3814,T1,T23
258,3064,356,13,382,53,1243,199,217,155,2402,T3,T22
259,3072,8,14,272,55,1338,202,211,144,2664,T3,T31
260,3168,198,1,451,59,283,218,239,157,3000,T3,T31
261,2832,131,14,60,0,1080,242,232,117,1801,T3,T10
262,3083,66,15,313,-9,6832,233,209,104,2629,T1,T29
263,3084,109,16,108,23,1248,245,221,99,1634,T3,T13
264,2847,81,19,150,49,153,242,204,85,721,T1,T29
265,3167,72,20,658,231,1218,238,196,80,2277,T3,T33
266,2986,314,14,127,27,2229,181,228,187,616,T1,T29
267,2942,180,4,0,0,5389,221,242,156,2572,T1,T16
268,2759,11,4,85,8,2419,216,232,153,1620,T1,T12
269,2702,54,12,247,5,569,227,214,118,1668,T1,T12
270,2936,337,14,150,16,2810,189,220,170,484,T3,T32
271,2835,299,19,150,61,741,164,229,204,2084,T1,T30
272,2990,189,18,162,30,1681,218,251,160,384,T3,T31
273,3380,49,41,192,82,4151,202,122,0,949,T1,T40
274,2738,33,8,0,0,785,219,223,140,2106,T3,T17
275,3018,20,14,577,-2,2510,209,210,135,2409,T3,T24
276,2922,56,5,201,6,3972,224,228,140,6430,T1,T20
277,3154,291,29,85,32,3012,127,221,228,2435,T1,T24
278,2854,155,17,283,76,1924,238,239,125,2083,T3,T13
279,3008,0,4,0,0,3928,213,232,156,1231,T1,T19
280,3047,215,19,797,180,6172,197,254,187,3576,T1,T29
281,3352,11,24,162,59,2548,186,183,126,2614,T1,T39
282,3352,328,17,721,60,2313,175,217,180,1015,T3,T32
283,3129,349,14,295,38,3877,193,216,160,1050,T1,T29
284,3455,66,15,933,170,2415,233,210,105,1299,T1,T35
285,3255,274,4,60,8,4349,210,240,169,618,T1,T38
286,2727,6,5,430,11,1489,214,230,154,1824,T1,T12
287,2016,337,26,30,21,350,154,194,174,457,T4,T10
288,2767,141,18,60,0,331,243,233,112,2541,T3,T11
289,3260,50,17,390,9,764,226,200,102,2465,T1,T22
290,3097,188,2,0,0,663,219,240,157,1842,T1,T23
291,2584,230,21,297,79,902,183,254,202,1507,T3,T4
292,2861,277,29,120,57,1980,129,230,234,1242,T3,T13
293,2471,321,19,67,21,721,169,218,188,604,T3,T10
294,3057,173,13,212,30,1663,228,246,147,484,T3,T13
295,3064,129,6,120,9,850,230,236,139,1463,T3,T32
296,2227,128,19,127,43,1062,248,225,97,1233,T4,T3
297,3071,5,8,450,54,1682,210,225,152,949,T3,T32
298,2775,278,21,124,40,1837,159,239,217,1008,T3,T33
299,3294,162,13,794,159,765,232,243,140,2325,T3,T32
300,3044,234,15,402,66,5758,193,252,194,1935,T1,T29
301,2465,277,14,150,2,60,182,242,200,323,T4,T6
302,2927,50,11,582,77,1082,225,216,124,1455,T3,T32
303,3075,137,20,570,34,1048,247,228,100,1922,T3,T33
304,2966,86,10,446,27,2581,234,224,120,2373,T1,T29
305,2760,93,5,67,5,1082,227,233,140,916,T3,T31
306,3231,283,18,691,28,1482,166,238,210,1365,T3,T33
307,3306,73,8,170,23,3072,230,225,128,2305,T1,T39
308,2301,334,22,150,57,1292,165,206,177,459,T4,T10
309,3059,108,14,85,14,3124,244,222,104,2624,T1,T29
310,2755,64,9,120,-5,1282,229,221,125,916,T3,T11
311,2718,340,15,234,84,2609,187,217,168,1291,T3,T10
312,2991,60,27,247,46,1825,229,174,60,3370,T3,T33
313,2857,40,14,430,-70,607,220,208,119,2240,T1,T29
314,2929,45,12,0,0,5636,223,213,122,3717,T1,T29
315,3275,110,10,30,7,5683,238,229,120,745,T1,T38
316,2985,113,4,511,-34,1741,226,236,145,1072,T3,T32
317,2469,117,17,67,19,547,246,222,99,1357,T4,T5
318,3349,31,13,67,3,1464,216,210,128,3489,T2,T35
319,2797,328,24,201,58,3613,155,204,185,1231,T1,T29
320,3195,187,24,150,20,3152,215,249,154,3257,T1,T22
321,2920,98,5,42,-2,1209,228,233,138,3121,T1,T23
322,3232,356,15,960,215,2023,195,212,154,2259,T3,T24
323,2983,152,5,108,12,1588,226,240,149,1736,T3,T32
324,2904,96,7,488,37,2935,232,229,129,2173,T1,T23
325,2955,107,10,297,58,1566,237,228,121,830,T3,T32
326,3098,170,11,541,36,362,228,245,148,1563,T3,T23
327,2967,124,21,376,222,1973,250,220,87,722,T3,T13
328,3599,58,29,1041,365,2452,226,166,53,1379,T1,T40
329,3302,274,21,300,72,4327,158,240,218,1690,T3,T39
330,2972,30,16,255,27,4547,213,203,121,1041,T1,T29
331,2552,47,17,256,21,2620,224,200,105,2605,T3,T11
332,3244,221,18,285,95,2995,195,254,191,902,T3,T33
333,3083,197,14,120,24,1816,215,251,167,301,T3,T32
334,3044,306,14,42,11,400,179,231,192,1024,T3,T32
335,2418,188,22,90,15,1092,216,250,156,1183,T3,T4
336,3011,95,9,218,0,983,234,227,124,907,T1,T29
337,3206,28,8,120,-9,3010,217,223,141,1533,T1,T29
338,2723,72,22,108,37,1195,239,192,73,2124,T1,T29
339,2764,38,13,90,9,1230,219,210,123,792,T3,T31
340,3343,135,6,616,96,1209,229,237,142,2318,T3,T32
341,3082,139,5,175,18,3814,228,238,144,331,T1,T29
342,3112,105,11,153,16,883,239,226,116,908,T1,T29
343,3078,335,10,247,38,4860,198,227,168,459,T1,T29
344,3129,283,15,85,5,2270,177,239,202,900,T3,T23
345,2753,25,14,150,26,1869,212,208,130,1461,T1,T29
346,2902,52,3,361,-1,4016,221,233,149,3724,T1,T23
347,3184,169,8,210,37,2916,226,244,151,1114,T3,T32
348,3231,30,19,150,32,2173,211,196,115,959,T1,T22
349,2829,36,15,339,95,85,218,206,120,933,T3,T11
350,2879,63,31,190,69,1230,229,161,41,845,T3,T33
351,3241,288,1,0,0,5514,216,238,159,659,T1,T38
352,3275,137,10,67,11,1355,236,236,131,3240,T2,T23
353,3029,189,10,30,2,534,221,248,160,1168,T1,T30
354,3142,332,33,743,118,6135,127,179,181,1486,T1,T29
355,2535,84,7,450,9,768,231,227,129,3676,T1,T18
356,3058,121,8,361,-40,607,235,233,130,1450,T1,T23
357,3214,23,14,0,0,1691,211,209,131,2439,T3,T22
358,2386,203,16,108,33,42,210,253,173,127,T3,T2
359,3349,195,13,218,23,3091,217,250,165,1718,T3,T32
360,3242,332,6,124,14,4151,207,233,165,1154,T1,T39
361,2908,109,10,150,4,4406,238,229,121,3982,T1,T30
362,2815,183,16,228,51,1690,222,249,154,1240,T3,T13
363,2870,152,5,342,58,2382,226,240,149,1936,T1,T12
364,2593,40,12,458,25,1415,221,213,125,1694,T3,T11
365,2847,87,4,390,-7,1933,226,233,142,2059,T1,T29
366,2844,19,10,42,9,558,213,219,142,525,T3,T23
367,3319,189,24,175,-15,2886,214,250,157,510,T3,T33
368,3108,324,12,258,37,192,189,227,177,1490,T2,T23
369,3336,101,41,180,98,3971,248,151,0,3451,T3,T33
370,2709,173,23,272,125,1765,227,244,136,1296,T3,T4
371,2788,51,26,450,159,819,222,174,70,849,T3,T33
372,2764,327,5,242,9,955,208,234,165,1087,T3,T31
373,3131,293,18,0,0,2296,167,233,206,3020,T1,T29
374,2762,341,9,240,23,1392,202,228,164,2343,T1,T12
375,2915,131,9,511,117,2886,235,235,131,366,T3,T10
376,2772,82,15,408,22,1690,240,212,98,1761,T1,T29
377,2845,28,14,234,50,3323,214,210,129,849,T3,T32
378,2928,138,26,120,26,1463,249,220,81,2609,T3,T33
379,3099,16,20,361,116,1560,200,195,127,1608,T3,T33
380,2981,15,16,598,112,2381,203,204,135,2143,T3,T24
381,3047,87,24,598,82,446,247,194,63,949,T3,T33
382,2898,137,12,85,17,603,238,235,125,2529,T1,T22
383,3108,135,9,120,12,997,235,236,133,1739,T1,T23
384,3110,217,5,339,25,1739,215,245,167,732,T3,T32
385,2436,69,20,67,18,934,237,198,84,979,T3,T2
386,3429,85,14,607,196,2201,239,216,104,1436,T1,T39
387,2549,16,11,30,1,966,211,217,142,1099,T3,T10
388,3402,80,21,242,90,2372,243,197,74,1973,T3,T39
389,3257,171,11,400,27,4417,228,245,147,976,T1,T29
390,2956,220,16,150,25,1889,200,253,186,1398,T3,T32
391,2867,61,22,190,80,2376,232,188,77,1816,T3,T13
392,3148,43,12,95,11,1084,222,214,125,4929,T2,T22
393,2877,71,33,120,-22,351,235,156,25,2260,T1,T30
394,3069,0,14,295,52,1310,199,214,151,2575,T3,T31
395,3093,319,18,268,69,2837,171,220,189,735,T1,T29
396,3036,354,7,319,49,767,208,227,157,1758,T3,T32
397,3165,188,14,1159,151,3092,221,250,159,2161,T3,T33
398,2461,34,14,120,18,256,217,210,125,1874,T4,T6
399,3121,177,10,150,-1,2062,225,246,153,603,T1,T23
400,2515,60,4,134,-2,636,223,231,144,5550,T1,T18
401,2818,280,7,95,24,2107,202,241,178,2925,T1,T30
402,2940,158,10,300,22,2573,231,242,141,2563,T3,T33
403,2554,212,28,228,139,1698,184,252,189,532,T3,T4
404,3250,274,18,277,34,700,169,242,211,934,T2,T32
405,2639,108,2,404,123,1556,223,236,149,1812,T3,T2
406,2923,100,17,85,-13,516,246,214,91,1790,T1,T29
407,3004,52,15,430,88,4635,227,206,108,3826,T1,T29
408,3149,98,11,0,0,3996,238,224,115,3171,T1,T23
409,2799,77,10,30,-2,655,233,221,119,201,T1,T30
410,3170,214,17,981,-99,4208,202,254,183,1380,T3,T33
411,2903,86,10,150,16,2142,235,223,119,2850,T3,T26
412,2744,42,18,67,11,1318,220,198,107,2613,T3,T10
413,3324,223,8,424,29,1075,210,248,175,1353,T3,T32
414,2893,145,15,30,0,4263,240,236,122,2768,T1,T30
415,2833,285,26,108,34,2345,139,229,226,1490,T3,T33
416,3208,195,14,60,3,2236,216,251,166,3884,T2,T23
417,3354,92,11,85,-11,2207,237,223,116,3326,T1,T38
418,2889,200,6,285,57,990,218,245,163,1784,T3,T11
419,3402,176,9,153,5,2509,225,245,153,285,T3,T38
420,2714,274,3,134,43,2190,211,240,167,4799,T1,T12
421,3110,37,5,0,0,1782,220,229,145,3069,T3,T23
422,2943,119,13,67,-2,4835,242,228,113,4213,T1,T29
423,3004,70,12,616,9,4334,233,215,112,3153,T1,T29
424,3277,13,13,690,74,1945,207,214,142,850,T3,T31
425,2693,118,16,339,-13,1290,245,225,104,1172,T1,T23
426,3325,252,10,42,3,4562,199,247,187,3354,T3,T35
427,2061,162,34,90,42,537,229,226,97,335,T4,T1
428,2951,128,8,60,-1,2193,234,235,133,1717,T1,T29
429,2983,119,29,134,47,1818,254,199,50,2791,T3,T33
430,2640,80,16,30,10,1445,240,210,95,182,T1,T9
431,2562,81,38,67,29,1697,239,145,0,1061,T3,T3
432,2567,34,9,190,16,1136,219,221,138,4924,T1,T18
433,3155,53,11,30,5,1986,227,215,121,2060,T1,T23
434,2857,150,9,150,45,2480,232,240,139,1897,T1,T30
435,3057,84,12,124,26,2003,237,220,113,3606,T3,T26
436,2870,295,28,212,108,1159,132,220,223,1248,T3,T13
437,3149,152,16,309,26,3223,238,239,126,3078,T1,T30
438,3254,25,14,666,178,920,212,208,130,2060,T3,T33
439,3205,17,6,212,22,5557,215,228,150,2294,T1,T22
440,2905,24,11,706,145,1036,214,215,136,2510,T3,T11
441,2975,90,1,342,10,4822,221,236,151,5437,T1,T12
442,3153,53,12,437,84,4414,227,215,120,2178,T1,T29
443,3240,7,8,60,14,4237,211,225,151,1077,T1,T39
444,2564,48,18,108,33,811,224,197,101,1044,T3,T11
445,2227,322,27,30,18,1448,141,201,194,789,T4,T10
446,2857,69,20,182,40,1530,237,198,84,2610,T3,T33
447,3029,175,10,67,-11,2352,226,246,151,3909,T1,T23
448,3027,174,5,95,5,3290,223,242,155,201,T1,T29
449,3037,85,9,180,-22,3542,233,225,124,5472,T1,T20
450,3228,4,12,525,53,3551,204,218,150,4280,T1,T29
451,2761,22,3,0,0,1693,218,233,153,1471,T3,T23
452,2620,94,12,256,30,1061,239,221,110,5444,T1,T29
453,3058,3,20,824,298,933,188,197,142,1544,T3,T33
454,3018,124,7,513,53,5457,232,235,136,5937,T1,T12
